label,protocol,fold,seed,object_code,direction_count,great_circle_mae_deg,theta_mae_deg,phi_mae_deg,top1_acc,theta_true_deg,phi_true_deg,great_circle_err_rect_ifft_deg,great_circle_err_hann_ifft_deg,great_circle_err_hann_minus_rect_deg,theta_err_hann_minus_rect_deg,phi_err_hann_minus_rect_deg,top1_rect_ifft,top1_hann_ifft,top1_hann_minus_rect
rect_ifft,id,0,76,bb7c,10,30.000001907348633,0.0,36.0,0.7,,,,,,,,,,
rect_ifft,id,0,76,bb7d,10,108.000004196167,36.0,114.0,0.2,,,,,,,,,,
rect_ifft,id,0,76,bbc6,10,45.30858116149902,6.0,54.0,0.3,,,,,,,,,,
rect_ifft,id,0,76,bc2c,10,80.3077392578125,36.0,99.0,0.1,,,,,,,,,,
rect_ifft,outer1,1,70,b827,60,21.640962855021158,3.5,24.0,0.8,,,,,,,,,,
rect_ifft,outer1,1,70,b871,60,22.431751696268716,1.0,21.5,0.8166666666666667,,,,,,,,,,
rect_ifft,outer1,1,70,b905,60,18.144703928629557,1.0,19.0,0.85,,,,,,,,,,
rect_ifft,outer1,1,70,bb7d,60,89.65503765741984,48.5,79.5,0.15,,,,,,,,,,
rect_ifft,outer1,1,70,bbc6,60,57.986850086847944,25.5,50.0,0.45,,,,,,,,,,
rect_ifft,outer1,1,71,b827,60,10.431751251220703,1.0,11.5,0.8666666666666667,,,,,,,,,,
rect_ifft,outer1,1,71,b871,60,24.380320866902668,1.0,24.0,0.8333333333333334,,,,,,,,,,
rect_ifft,outer1,1,71,b905,60,12.403411897023519,2.0,11.5,0.8666666666666667,,,,,,,,,,
rect_ifft,outer1,1,71,bb7d,60,91.68391338984172,51.0,83.0,0.16666666666666666,,,,,,,,,,
rect_ifft,outer1,1,71,bbc6,60,52.66396266619365,25.5,47.5,0.48333333333333334,,,,,,,,,,
rect_ifft,outer1,1,72,b827,60,14.863502629597981,0.0,15.0,0.8833333333333333,,,,,,,,,,
rect_ifft,outer1,1,72,b871,60,18.000000190734863,0.0,18.0,0.8833333333333333,,,,,,,,,,
rect_ifft,outer1,1,72,b905,60,18.500000508626304,1.0,17.5,0.8166666666666667,,,,,,,,,,
rect_ifft,outer1,1,72,bb7d,60,85.41044243176778,46.0,81.0,0.13333333333333333,,,,,,,,,,
rect_ifft,outer1,1,72,bbc6,60,54.83460831642151,25.5,43.5,0.55,,,,,,,,,,
rect_ifft,outer1,1,73,b827,60,15.287047640482585,1.5,14.0,0.8166666666666667,,,,,,,,,,
rect_ifft,outer1,1,73,b871,60,19.162120215098064,4.0,18.5,0.8333333333333334,,,,,,,,,,
rect_ifft,outer1,1,73,b905,60,16.896938673655193,5.0,14.0,0.85,,,,,,,,,,
rect_ifft,outer1,1,73,bb7d,60,92.46233622233073,52.5,76.5,0.15,,,,,,,,,,
rect_ifft,outer1,1,73,bbc6,60,55.981045198440555,27.0,47.5,0.5,,,,,,,,,,
rect_ifft,outer1,1,74,b827,60,22.287048403422038,1.0,24.5,0.8,,,,,,,,,,
rect_ifft,outer1,1,74,b871,60,16.004103056589763,1.0,15.5,0.8666666666666667,,,,,,,,,,
rect_ifft,outer1,1,74,b905,60,24.289407157897948,2.0,25.0,0.8333333333333334,,,,,,,,,,
rect_ifft,outer1,1,74,bb7d,60,90.58505177497864,51.0,82.0,0.16666666666666666,,,,,,,,,,
rect_ifft,outer1,1,74,bbc6,60,46.08318748474121,21.5,42.5,0.5166666666666667,,,,,,,,,,
rect_ifft,outer1,1,75,b827,60,17.684785556793212,3.5,18.5,0.8,,,,,,,,,,
rect_ifft,outer1,1,75,b871,60,16.86350294748942,0.0,17.0,0.85,,,,,,,,,,
rect_ifft,outer1,1,75,b905,60,12.107531801859539,1.0,11.5,0.8833333333333333,,,,,,,,,,
rect_ifft,outer1,1,75,bb7d,60,89.21676573753356,45.5,85.0,0.15,,,,,,,,,,
rect_ifft,outer1,1,75,bbc6,60,59.051641861597695,23.5,53.5,0.4666666666666667,,,,,,,,,,
rect_ifft,outer1,1,76,b827,60,16.03489696184794,0.5,16.0,0.8333333333333334,,,,,,,,,,
