protocol,fold,seed,object_code,theta_true_deg,phi_true_deg,great_circle_err_rect_ifft_deg,great_circle_err_hann_ifft_deg,great_circle_err_hann_minus_rect_deg,theta_err_hann_minus_rect_deg,phi_err_hann_minus_rect_deg,top1_rect_ifft,top1_hann_ifft,top1_hann_minus_rect
id,0,70,bb7c,150.0,180.0,0.0,90.0,90.0,30.0,180.0,1.0,0.0,-1.0
id,0,70,bb7d,30.0,150.0,128.68218994140625,151.04498291015625,22.36279296875,0.0,60.0,0.0,0.0,0.0
id,0,70,bb7d,30.0,330.0,151.04498291015625,151.04498291015625,0.0,0.0,0.0,0.0,0.0,0.0
id,0,70,bb7d,60.0,30.0,82.81924438476562,0.0,-82.81924438476562,-60.0,-60.0,0.0,1.0,1.0
id,0,70,bb7d,60.0,210.0,128.6822052001953,82.81924438476562,-45.86296081542969,0.0,-60.0,0.0,0.0,0.0
id,0,70,bb7d,90.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,bb7d,90.0,270.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
id,0,70,bb7d,120.0,150.0,120.00000762939453,0.0,-120.00000762939453,0.0,-180.0,0.0,1.0,1.0
id,0,70,bb7d,120.0,330.0,0.0,120.00000762939453,120.00000762939453,0.0,180.0,1.0,0.0,-1.0
id,0,70,bb7d,150.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,bb7d,150.0,210.0,60.000003814697266,165.12905883789062,105.12905502319336,120.0,-30.0,0.0,0.0,0.0
id,0,70,bbc6,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
id,0,70,bbc6,30.0,180.0,60.000003814697266,0.0,-60.000003814697266,0.0,-180.0,0.0,1.0,1.0
id,0,70,bbc6,60.0,60.0,60.000003814697266,0.0,-60.000003814697266,-60.0,0.0,0.0,1.0,1.0
id,0,70,bbc6,60.0,240.0,51.31781005859375,0.0,-51.31781005859375,0.0,-60.0,0.0,1.0,1.0
id,0,70,bbc6,90.0,120.0,120.00000762939453,180.0,59.99999237060547,0.0,60.0,0.0,0.0,0.0
id,0,70,bbc6,90.0,300.0,60.000003814697266,60.000003814697266,0.0,0.0,0.0,0.0,0.0,0.0
