partition,method,object_code,count,great_circle_mean_deg,great_circle_median_deg,great_circle_p90_deg,top1_acc,failure_rate_gt_30_deg,failure_rate_gt_60_deg,failure_rate_gt_90_deg
held,operational_6ch_range_phase_invariant_1nn,bb7c,60,10.952672299088109,0.0,60.00000000000001,0.85,0.13333333333333333,0.1,0.016666666666666666
held,operational_6ch_range_phase_invariant_1nn,bb7d,60,80.53604588831014,90.0,149.99999999999997,0.2,0.7666666666666667,0.65,0.4666666666666667
held,operational_6ch_range_phase_invariant_1nn,bbc6,60,27.14096221092709,0.0,90.0,0.6666666666666666,0.3,0.23333333333333334,0.08333333333333333
held,operational_6ch_range_phase_invariant_1nn,bc2c,60,66.1884272126236,82.81924421854171,150.00000000000003,0.3,0.65,0.5333333333333333,0.31666666666666665
held,real_coherent_1nn,b7c1,60,10.52502386120052,0.0,59.99999999999999,0.9,0.1,0.08333333333333333,0.05
held,real_coherent_1nn,b7fd,60,55.484190596328254,0.0,151.04497562814015,0.55,0.45,0.43333333333333335,0.3
held,real_coherent_1nn,b80b,60,3.0,0.0,0.0,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666
held,real_coherent_1nn,b812,60,13.380320736975696,0.0,0.0,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.06666666666666667
held,real_coherent_1nn,b827,60,19.289406248449648,0.0,128.68218745348943,0.8666666666666667,0.13333333333333333,0.13333333333333333,0.11666666666666667
held,real_coherent_1nn,b871,60,20.144703124224822,0.0,128.68218745348943,0.8666666666666667,0.13333333333333333,0.13333333333333333,0.11666666666666667
held,real_coherent_1nn,b8ed,60,35.578812496899296,0.0,128.68218745348943,0.7,0.3,0.23333333333333334,0.23333333333333334
held,real_coherent_1nn,b905,60,18.0,0.0,119.99999999999999,0.8833333333333333,0.11666666666666667,0.1,0.1
held,real_coherent_1nn,b943,60,30.050047722401036,0.0,128.68218745348943,0.7666666666666667,0.23333333333333334,0.21666666666666667,0.16666666666666666
held,real_coherent_1nn,b974,60,14.144703124224824,0.0,0.0,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333
held,real_coherent_1nn,b979,60,75.66322708247596,60.00000000000002,179.99999999999997,0.31666666666666665,0.6833333333333333,0.5166666666666667,0.4
held,real_coherent_1nn,b97b,60,22.760641473951388,0.0,179.99999999999997,0.8333333333333334,0.16666666666666666,0.13333333333333333,0.1
held,real_coherent_1nn,b9e6,60,6.000000000000001,0.0,0.0,0.95,0.05,0.05,0.03333333333333333
held,real_coherent_1nn,ba0f,60,74.01898961601351,59.99999999999999,179.99999999999997,0.31666666666666665,0.6666666666666666,0.45,0.4
held,real_coherent_1nn,baa9,60,4.380320736975695,0.0,0.0,0.9666666666666667,0.03333333333333333,0.03333333333333333,0.016666666666666666
held,real_coherent_1nn,bb26,60,72.05172518631818,60.000000000000014,151.04497562814015,0.2833333333333333,0.65,0.5,0.38333333333333336
held,real_coherent_1nn,bb7c,60,27.050047722401036,0.0,179.99999999999997,0.8,0.2,0.18333333333333332,0.13333333333333333
held,real_coherent_1nn,bb7d,60,90.02056297155804,90.0,179.99999999999997,0.18333333333333332,0.8166666666666667,0.6333333333333333,0.5
held,real_coherent_1nn,bbc6,60,37.10009544480208,0.0,128.68218745348943,0.6333333333333333,0.3333333333333333,0.2833333333333333,0.18333333333333332
held,real_coherent_1nn,bc2c,60,59.86611836656148,59.999999999999986,149.99999999999997,0.38333333333333336,0.5666666666666667,0.48333333333333334,0.2833333333333333
held,global_phase_invariant_1nn,b7c1,60,10.52502386120052,0.0,59.99999999999999,0.9,0.1,0.08333333333333333,0.05
held,global_phase_invariant_1nn,b7fd,60,59.484190596328254,29.999999999999996,151.04497562814015,0.5,0.5,0.48333333333333334,0.3
held,global_phase_invariant_1nn,b80b,60,3.0,0.0,0.0,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666
held,global_phase_invariant_1nn,b812,60,13.380320736975696,0.0,0.0,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.06666666666666667
held,global_phase_invariant_1nn,b827,60,19.289406248449648,0.0,128.68218745348943,0.8666666666666667,0.13333333333333333,0.13333333333333333,0.11666666666666667
held,global_phase_invariant_1nn,b871,60,18.144703124224822,0.0,128.68218745348943,0.8833333333333333,0.11666666666666667,0.11666666666666667,0.1
held,global_phase_invariant_1nn,b8ed,60,26.380320736975698,0.0,120.00000000000004,0.7833333333333333,0.21666666666666667,0.16666666666666666,0.15
held,global_phase_invariant_1nn,b905,60,12.0,0.0,0.0,0.9166666666666666,0.08333333333333333,0.06666666666666667,0.06666666666666667
held,global_phase_invariant_1nn,b943,60,28.050047722401036,0.0,128.68218745348943,0.7833333333333333,0.21666666666666667,0.2,0.15
held,global_phase_invariant_1nn,b974,60,11.144703124224824,0.0,0.0,0.9333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667
held,global_phase_invariant_1nn,b979,60,73.78809114451575,62.17054686337238,165.1290555477363,0.3,0.7,0.5166666666666667,0.4
held,global_phase_invariant_1nn,b97b,60,22.760641473951388,0.0,179.99999999999997,0.8333333333333334,0.16666666666666666,0.13333333333333333,0.1
held,global_phase_invariant_1nn,b9e6,60,6.000000000000001,0.0,0.0,0.95,0.05,0.05,0.03333333333333333
held,global_phase_invariant_1nn,ba0f,60,76.41941905143926,71.40962210927086,179.99999999999997,0.2833333333333333,0.7,0.5,0.43333333333333335
held,global_phase_invariant_1nn,baa9,60,4.380320736975695,0.0,0.0,0.9666666666666667,0.03333333333333333,0.03333333333333333,0.016666666666666666
held,global_phase_invariant_1nn,bb26,60,69.85249599928748,71.40962210927086,151.04497562814015,0.25,0.7,0.5,0.3333333333333333
held,global_phase_invariant_1nn,bb7c,60,29.194750846625862,0.0,179.99999999999997,0.7833333333333333,0.21666666666666667,0.2,0.15
held,global_phase_invariant_1nn,bb7d,60,93.70393772064655,90.00000000000001,151.04497562814015,0.13333333333333333,0.8666666666666667,0.6666666666666666,0.5333333333333333
held,global_phase_invariant_1nn,bbc6,60,36.10009544480208,0.0,128.68218745348943,0.6333333333333333,0.3333333333333333,0.2833333333333333,0.18333333333333332
held,global_phase_invariant_1nn,bc2c,60,57.86611836656148,59.999999999999986,138.59037789072914,0.4,0.5833333333333334,0.4666666666666667,0.26666666666666666
held,global_phase_invariant_dev_selected_topk,b7c1,60,17.76064147395139,0.0,82.81924421854174,0.8666666666666667,0.13333333333333333,0.13333333333333333,0.08333333333333333
held,global_phase_invariant_dev_selected_topk,b7fd,60,53.85083598613268,0.0,151.04497562814015,0.5333333333333333,0.45,0.4166666666666667,0.2833333333333333
held,global_phase_invariant_dev_selected_topk,b80b,60,10.905344598176214,0.0,0.0,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.05
held,global_phase_invariant_dev_selected_topk,b812,60,10.380320736975696,0.0,0.0,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.05
held,global_phase_invariant_dev_selected_topk,b827,60,29.144703124224822,0.0,179.99999999999997,0.7833333333333333,0.21666666666666667,0.21666666666666667,0.16666666666666666
held,global_phase_invariant_dev_selected_topk,b871,60,31.764382387249125,0.0,179.99999999999997,0.7833333333333333,0.21666666666666667,0.21666666666666667,0.2
held,global_phase_invariant_dev_selected_topk,b8ed,60,26.405344598176217,0.0,120.00000000000004,0.75,0.23333333333333334,0.18333333333333332,0.11666666666666667
held,global_phase_invariant_dev_selected_topk,b905,60,10.380320736975696,0.0,60.000000000000036,0.9,0.1,0.1,0.05
held,global_phase_invariant_dev_selected_topk,b943,60,27.71977470782638,0.0,128.68218745348943,0.7833333333333333,0.21666666666666667,0.2,0.15
held,global_phase_invariant_dev_selected_topk,b974,60,17.76064147395139,0.0,82.81924421854174,0.8833333333333333,0.11666666666666667,0.11666666666666667,0.08333333333333333
held,global_phase_invariant_dev_selected_topk,b979,60,57.4167443515868,49.583905072063025,150.0,0.38333333333333336,0.5666666666666667,0.38333333333333336,0.25
held,global_phase_invariant_dev_selected_topk,b97b,60,25.56746398287004,0.0,151.04497562814015,0.8166666666666667,0.18333333333333332,0.16666666666666666,0.13333333333333333
held,global_phase_invariant_dev_selected_topk,b9e6,60,24.194750846625865,0.0,128.68218745348943,0.8166666666666667,0.18333333333333332,0.18333333333333332,0.13333333333333333
