label,protocol,fold,seed,object_code,direction_count,great_circle_mae_deg,theta_mae_deg,phi_mae_deg,top1_acc
frequency,outer1,1,73,b827,60,16.0,1.0,15.0,0.8833333333333333
frequency,outer1,1,73,b871,60,14.144703801472982,2.0,13.0,0.8666666666666667
frequency,outer1,1,73,b905,60,11.000000381469727,0.0,11.0,0.9
frequency,outer1,1,73,bb7d,60,88.58706922531128,47.5,89.0,0.13333333333333333
frequency,outer1,1,73,bbc6,60,47.740919240315755,21.0,44.5,0.55
frequency,outer1,1,74,b827,60,15.690459887186686,0.0,16.0,0.85
frequency,outer1,1,74,b871,60,16.789407189687093,2.5,16.0,0.85
frequency,outer1,1,74,b905,60,20.576455243428548,1.0,21.5,0.8333333333333334
frequency,outer1,1,74,bb7d,60,86.55143774350485,46.5,78.5,0.18333333333333332
frequency,outer1,1,74,bbc6,60,50.251793432235715,22.0,49.5,0.5
frequency,outer1,1,75,b827,60,21.24159154891968,4.0,19.0,0.8
frequency,outer1,1,75,b871,60,17.037364069620768,3.0,16.5,0.85
frequency,outer1,1,75,b905,60,20.690459950764975,0.0,22.0,0.8166666666666667
frequency,outer1,1,75,bb7d,60,88.42809861501058,43.5,86.5,0.18333333333333332
frequency,outer1,1,75,bbc6,60,50.44775897661845,19.5,49.0,0.5166666666666667
frequency,outer1,1,76,b827,60,16.39246892929077,1.5,15.5,0.8666666666666667
frequency,outer1,1,76,b871,60,14.7643829981486,1.0,15.0,0.8666666666666667
frequency,outer1,1,76,b905,60,15.43175163269043,0.0,15.5,0.8666666666666667
frequency,outer1,1,76,bb7d,60,99.04424085617066,55.0,89.0,0.1
frequency,outer1,1,76,bbc6,60,45.67443453470866,16.5,45.5,0.5333333333333333
frequency,outer2,2,70,b7c1,60,20.38032118479411,1.0,21.0,0.85
frequency,outer2,2,70,b80b,60,12.0,0.0,12.0,0.9333333333333333
frequency,outer2,2,70,b9e6,60,22.619679768880207,0.0,24.0,0.8333333333333334
frequency,outer2,2,70,ba0f,60,79.32793169021606,31.5,85.5,0.23333333333333334
frequency,outer2,2,70,bb7c,60,24.03928295771281,2.5,25.0,0.8
frequency,outer2,2,71,b7c1,60,22.000000445048013,1.0,22.0,0.8333333333333334
frequency,outer2,2,71,b80b,60,3.0,0.0,3.0,0.9833333333333333
frequency,outer2,2,71,b9e6,60,15.000000381469727,0.0,17.0,0.8833333333333333
frequency,outer2,2,71,ba0f,60,72.88216334978739,24.0,81.0,0.25
frequency,outer2,2,71,bb7c,60,16.55366325378418,3.5,14.5,0.8166666666666667
frequency,outer2,2,72,b7c1,60,24.1196790377299,1.5,23.0,0.8
frequency,outer2,2,72,b80b,60,9.999999554951986,1.0,9.0,0.9166666666666666
frequency,outer2,2,72,b9e6,60,19.500000222524008,0.5,21.0,0.85
frequency,outer2,2,72,ba0f,60,80.71089464823405,28.5,89.0,0.21666666666666667
frequency,outer2,2,72,bb7c,60,21.38032054901123,3.0,19.0,0.8166666666666667
frequency,outer2,2,73,b7c1,60,22.00000025431315,0.0,23.0,0.8666666666666667
frequency,outer2,2,73,b80b,60,12.0,0.0,12.0,0.9333333333333333
frequency,outer2,2,73,b9e6,60,18.000000381469725,0.0,20.0,0.8666666666666667
frequency,outer2,2,73,ba0f,60,70.52519868214925,23.5,79.5,0.26666666666666666
frequency,outer2,2,73,bb7c,60,19.355296897888184,0.5,22.0,0.8666666666666667
frequency,outer2,2,74,b7c1,60,19.000000508626304,1.0,19.0,0.85
frequency,outer2,2,74,b80b,60,18.0,0.0,18.0,0.9
frequency,outer2,2,74,b9e6,60,18.00000057220459,0.0,20.0,0.8666666666666667
frequency,outer2,2,74,ba0f,60,62.769632800420126,21.0,70.0,0.2833333333333333
frequency,outer2,2,74,bb7c,60,29.272789827982585,3.0,31.5,0.7833333333333333
frequency,outer2,2,75,b7c1,60,13.00000031789144,0.0,13.0,0.9
frequency,outer2,2,75,b80b,60,6.0,0.0,6.0,0.9666666666666667
frequency,outer2,2,75,b9e6,60,14.619679641723632,0.0,16.0,0.8833333333333333
frequency,outer2,2,75,ba0f,60,71.97104441324869,25.5,74.0,0.3
frequency,outer2,2,75,bb7c,60,25.646936162312826,2.5,28.0,0.8
frequency,outer2,2,76,b7c1,60,13.628169711430868,1.0,13.5,0.8833333333333333
frequency,outer2,2,76,b80b,60,12.0,0.0,12.0,0.9333333333333333
frequency,outer2,2,76,b9e6,60,21.00000057220459,0.0,24.0,0.85
frequency,outer2,2,76,ba0f,60,71.98774509429931,26.0,76.0,0.3333333333333333
frequency,outer2,2,76,bb7c,60,21.883636919657388,2.0,22.0,0.8166666666666667
frequency,outer3,3,70,b812,60,18.0,0.0,18.0,0.9
frequency,outer3,3,70,b943,60,21.576455116271973,2.0,20.5,0.8166666666666667
frequency,outer3,3,70,b974,60,13.000000063578288,0.0,13.0,0.9166666666666666
frequency,outer3,3,70,b97b,60,21.644703324635824,3.5,20.0,0.7833333333333333
frequency,outer3,3,70,bc2c,60,86.47756764094035,32.5,95.0,0.2
frequency,outer3,3,71,b812,60,15.0,0.0,15.0,0.9166666666666666
frequency,outer3,3,71,b943,60,25.235617542266844,2.0,26.0,0.8
frequency,outer3,3,71,b974,60,19.000000063578288,0.0,21.0,0.8833333333333333
frequency,outer3,3,71,b97b,60,21.917684078216553,7.5,19.5,0.75
frequency,outer3,3,71,bc2c,60,86.8478044350942,32.5,93.0,0.16666666666666666
frequency,outer3,3,72,b812,60,13.380320739746093,1.0,13.0,0.9166666666666666
frequency,outer3,3,72,b943,60,20.14470361073812,2.0,19.0,0.8333333333333334
frequency,outer3,3,72,b974,60,18.000000190734863,0.0,18.0,0.8833333333333333
frequency,outer3,3,72,b97b,60,27.317933813730875,3.5,27.5,0.7333333333333333
frequency,outer3,3,72,bc2c,60,86.51674372355143,29.5,92.5,0.23333333333333334
frequency,outer3,3,73,b812,60,11.000000127156575,0.0,11.0,0.9333333333333333
frequency,outer3,3,73,b943,60,21.628170347213747,2.0,20.5,0.7833333333333333
frequency,outer3,3,73,b974,60,12.431751251220703,0.0,12.5,0.9166666666666666
frequency,outer3,3,73,b97b,60,27.62386784553528,6.5,26.5,0.7
frequency,outer3,3,73,bc2c,60,86.76086479822794,30.5,92.5,0.21666666666666667
frequency,outer3,3,74,b812,60,11.000000127156575,0.0,12.0,0.9333333333333333
frequency,outer3,3,74,b943,60,16.312072149912517,1.5,15.5,0.8333333333333334
frequency,outer3,3,74,b974,60,18.0,0.0,18.0,0.9
frequency,outer3,3,74,b97b,60,28.161551205317178,2.0,32.5,0.7166666666666667
frequency,outer3,3,74,bc2c,60,84.05778415997823,26.5,96.5,0.18333333333333332
frequency,outer3,3,75,b812,60,11.000000127156575,0.0,11.0,0.9333333333333333
frequency,outer3,3,75,b943,60,22.68398666381836,2.0,22.0,0.8
frequency,outer3,3,75,b974,60,12.0,0.0,12.0,0.9333333333333333
frequency,outer3,3,75,b97b,60,31.9318351427714,8.0,30.5,0.6833333333333333
frequency,outer3,3,75,bc2c,60,85.8815395673116,29.0,90.0,0.21666666666666667
frequency,outer3,3,76,b812,60,11.000000127156575,0.0,11.0,0.9333333333333333
frequency,outer3,3,76,b943,60,21.008206367492676,1.0,21.0,0.8
frequency,outer3,3,76,b974,60,12.0,0.0,12.0,0.9333333333333333
frequency,outer3,3,76,b97b,60,29.076454893747965,2.5,32.5,0.7166666666666667
frequency,outer3,3,76,bc2c,60,84.34602254231771,29.5,90.0,0.18333333333333332
frequency,outer4,4,70,b7fd,60,56.34939190546672,27.0,48.5,0.4
frequency,outer4,4,70,b8ed,60,42.8224684715271,15.0,38.5,0.55
frequency,outer4,4,70,b979,60,61.968071619669594,23.5,68.0,0.25
frequency,outer4,4,70,baa9,60,6.0,0.0,6.0,0.9666666666666667
frequency,outer4,4,70,bb26,60,67.30840682983398,29.0,66.5,0.31666666666666665
frequency,outer4,4,71,b7fd,60,50.61472732226054,25.0,44.5,0.4
frequency,outer4,4,71,b8ed,60,36.50591783523559,12.5,32.5,0.5833333333333334
frequency,outer4,4,71,b979,60,67.18015817006429,18.5,82.5,0.26666666666666666
frequency,outer4,4,71,baa9,60,3.0,0.0,3.0,0.9833333333333333
frequency,outer4,4,71,bb26,60,74.87572301228842,36.5,71.5,0.21666666666666667
frequency,outer4,4,72,b7fd,60,51.93467067082723,27.5,46.5,0.45
frequency,outer4,4,72,b8ed,60,42.744538164138795,14.0,39.5,0.5666666666666667
frequency,outer4,4,72,b979,60,65.698273452123,22.0,75.5,0.26666666666666666
frequency,outer4,4,72,baa9,60,9.0,0.0,9.0,0.95
frequency,outer4,4,72,bb26,60,79.75524142583211,38.5,75.5,0.26666666666666666
frequency,outer4,4,73,b7fd,60,51.48992273012797,23.0,48.0,0.43333333333333335
frequency,outer4,4,73,b8ed,60,38.898289648691815,14.5,35.5,0.55
frequency,outer4,4,73,b979,60,62.14615637461345,20.0,78.0,0.18333333333333332
frequency,outer4,4,73,baa9,60,3.0,0.0,3.0,0.9833333333333333
frequency,outer4,4,73,bb26,60,71.63761843045553,28.5,71.5,0.25
frequency,outer4,4,74,b7fd,60,54.27574667930603,23.0,53.0,0.36666666666666664
frequency,outer4,4,74,b8ed,60,33.71337779362997,11.5,32.0,0.65
frequency,outer4,4,74,b979,60,72.40342400868734,30.5,87.0,0.16666666666666666
frequency,outer4,4,74,baa9,60,3.0,0.0,3.0,0.9833333333333333
frequency,outer4,4,74,bb26,60,77.26317618687948,31.5,80.0,0.2
frequency,outer4,4,75,b7fd,60,60.276817846298215,28.5,51.0,0.4
frequency,outer4,4,75,b8ed,60,46.479679870605466,15.0,45.5,0.5166666666666667
frequency,outer4,4,75,b979,60,73.44027786254883,27.5,75.0,0.18333333333333332
frequency,outer4,4,75,baa9,60,0.0,0.0,0.0,1.0
frequency,outer4,4,75,bb26,60,72.93496885299683,32.5,69.5,0.23333333333333334
frequency,outer4,4,76,b7fd,60,46.110693248112995,23.5,38.5,0.4666666666666667
frequency,outer4,4,76,b8ed,60,44.843165493011476,14.5,40.0,0.5
frequency,outer4,4,76,b979,60,67.06021518707276,22.0,81.0,0.16666666666666666
frequency,outer4,4,76,baa9,60,3.0,0.0,3.0,0.9833333333333333
frequency,outer4,4,76,bb26,60,75.37036511103312,35.5,73.5,0.31666666666666665
rect_ifft,id,0,70,b7c1,10,18.0,0.0,18.0,0.9
rect_ifft,id,0,70,b7fd,10,58.27771224975586,18.0,51.0,0.6
rect_ifft,id,0,70,b80b,10,27.718075561523438,0.0,30.0,0.8
rect_ifft,id,0,70,b812,10,0.0,0.0,0.0,1.0
rect_ifft,id,0,70,b827,10,18.0,0.0,18.0,0.9
rect_ifft,id,0,70,b871,10,18.0,0.0,18.0,0.9
rect_ifft,id,0,70,b8ed,10,13.487094974517822,0.0,15.0,0.8
rect_ifft,id,0,70,b905,10,20.59050750732422,0.0,21.0,0.8
rect_ifft,id,0,70,b943,10,18.0,0.0,18.0,0.9
rect_ifft,id,0,70,b974,10,20.59050750732422,0.0,21.0,0.8
rect_ifft,id,0,70,b979,10,78.10449733734131,45.0,60.0,0.1
rect_ifft,id,0,70,b97b,10,18.0,0.0,18.0,0.9
rect_ifft,id,0,70,b9e6,10,18.00000114440918,0.0,18.0,0.8
rect_ifft,id,0,70,ba0f,10,108.2089973449707,39.0,111.0,0.3
rect_ifft,id,0,70,baa9,10,0.0,0.0,0.0,1.0
rect_ifft,id,0,70,bb26,10,92.28192749023438,42.0,90.0,0.1
rect_ifft,id,0,70,bb7c,10,15.000000953674316,0.0,15.0,0.8
rect_ifft,id,0,70,bb7d,10,85.12286338806152,36.0,90.0,0.3
rect_ifft,id,0,70,bbc6,10,47.131781578063965,18.0,42.0,0.3
rect_ifft,id,0,70,bc2c,10,70.83356504440307,18.0,99.0,0.1
rect_ifft,id,0,71,b7c1,10,12.000000762939454,0.0,12.0,0.9
rect_ifft,id,0,71,b7fd,10,47.821466255187985,12.0,57.0,0.5
rect_ifft,id,0,71,b80b,10,30.868218994140626,6.0,30.0,0.8
rect_ifft,id,0,71,b812,10,18.0,0.0,18.0,0.9
rect_ifft,id,0,71,b827,10,23.775818634033204,0.0,33.0,0.7
rect_ifft,id,0,71,b871,10,18.0,0.0,18.0,0.9
rect_ifft,id,0,71,b8ed,10,24.000001525878908,0.0,36.0,0.7
rect_ifft,id,0,71,b905,10,26.281924438476562,6.0,24.0,0.8
rect_ifft,id,0,71,b943,10,18.0,0.0,18.0,0.9
rect_ifft,id,0,71,b974,10,18.0,0.0,18.0,0.9
rect_ifft,id,0,71,b979,10,73.71505784988403,33.0,81.0,0.1
rect_ifft,id,0,71,b97b,10,34.51290588378906,12.0,33.0,0.8
rect_ifft,id,0,71,b9e6,10,18.00000114440918,0.0,18.0,0.8
rect_ifft,id,0,71,ba0f,10,73.24546318054199,39.0,51.0,0.4
rect_ifft,id,0,71,baa9,10,48.868218994140626,6.0,48.0,0.7
rect_ifft,id,0,71,bb26,10,98.53656730651855,54.0,84.0,0.2
rect_ifft,id,0,71,bb7c,10,24.000001525878908,0.0,30.0,0.7
rect_ifft,id,0,71,bb7d,10,91.99108200073242,48.0,78.0,0.3
rect_ifft,id,0,71,bbc6,10,49.48709192276001,12.0,39.0,0.4
rect_ifft,id,0,71,bc2c,10,59.281927013397215,30.0,69.0,0.1
rect_ifft,id,0,72,b7c1,10,6.000000381469727,0.0,6.0,0.9
rect_ifft,id,0,72,b7fd,10,36.124981212615964,18.0,27.0,0.4
rect_ifft,id,0,72,b80b,10,18.0,0.0,18.0,0.9
rect_ifft,id,0,72,b812,10,0.0,0.0,0.0,1.0
rect_ifft,id,0,72,b827,10,0.0,0.0,0.0,1.0
rect_ifft,id,0,72,b871,10,18.0,0.0,18.0,0.9
rect_ifft,id,0,72,b8ed,10,14.99999942779541,3.0,12.0,0.8
rect_ifft,id,0,72,b905,10,5.131781005859375,0.0,6.0,0.9
rect_ifft,id,0,72,b943,10,36.0,0.0,36.0,0.8
rect_ifft,id,0,72,b974,10,0.0,0.0,0.0,1.0
rect_ifft,id,0,72,b979,10,60.10827903747558,24.0,81.0,0.1
rect_ifft,id,0,72,b97b,10,12.868218994140625,12.0,6.0,0.9
rect_ifft,id,0,72,b9e6,10,18.00000114440918,0.0,18.0,0.8
rect_ifft,id,0,72,ba0f,10,67.09240207672119,36.0,51.0,0.4
rect_ifft,id,0,72,baa9,10,18.0,0.0,18.0,0.9
rect_ifft,id,0,72,bb26,10,85.66305122375488,42.0,81.0,0.2
rect_ifft,id,0,72,bb7c,10,0.0,0.0,0.0,1.0
rect_ifft,id,0,72,bb7d,10,72.08084602355957,36.0,69.0,0.2
rect_ifft,id,0,72,bbc6,10,52.94581937789917,18.0,42.0,0.3
rect_ifft,id,0,72,bc2c,10,84.57065181732177,36.0,90.0,0.1
rect_ifft,id,0,73,b7c1,10,0.0,0.0,0.0,1.0
rect_ifft,id,0,73,b7fd,10,58.30178422927857,18.0,51.0,0.3
rect_ifft,id,0,73,b80b,10,27.718075561523438,0.0,30.0,0.8
rect_ifft,id,0,73,b812,10,18.0,0.0,18.0,0.9
rect_ifft,id,0,73,b827,10,18.0,0.0,18.0,0.9
rect_ifft,id,0,73,b871,10,36.0,0.0,36.0,0.8
rect_ifft,id,0,73,b8ed,10,12.000000762939454,0.0,12.0,0.9
rect_ifft,id,0,73,b905,10,20.59050750732422,0.0,21.0,0.8
rect_ifft,id,0,73,b943,10,20.59050750732422,0.0,21.0,0.8
rect_ifft,id,0,73,b974,10,6.645188903808593,6.0,3.0,0.9
rect_ifft,id,0,73,b979,10,87.76657180786133,54.0,69.0,0.1
rect_ifft,id,0,73,b97b,10,18.0,0.0,18.0,0.9
rect_ifft,id,0,73,b9e6,10,18.00000114440918,0.0,18.0,0.8
rect_ifft,id,0,73,ba0f,10,87.24125061035156,45.0,66.0,0.3
rect_ifft,id,0,73,baa9,10,18.0,0.0,18.0,0.9
rect_ifft,id,0,73,bb26,10,92.04258365631104,48.0,69.0,0.1
rect_ifft,id,0,73,bb7c,10,24.000001525878908,0.0,30.0,0.8
rect_ifft,id,0,73,bb7d,10,91.12286376953125,36.0,108.0,0.2
rect_ifft,id,0,73,bbc6,10,42.43655805587768,21.0,27.0,0.3
rect_ifft,id,0,73,bc2c,10,72.98014392852784,24.0,96.0,0.2
rect_ifft,id,0,74,b7c1,10,6.000000381469727,0.0,6.0,0.9
rect_ifft,id,0,74,b7fd,10,35.946446323394774,12.0,36.0,0.4
rect_ifft,id,0,74,b80b,10,18.0,0.0,18.0,0.9
rect_ifft,id,0,74,b812,10,18.0,0.0,18.0,0.9
