arm,arm_display,true_index,pred_index,theta_true_deg,phi_true_deg,theta_pred_deg,phi_pred_deg,count,true_direction_total,row_rate
frequency,Frequency MLP,2,33,30.0,60.0,90.0,270.0,0,140,0.0
frequency,Frequency MLP,2,34,30.0,60.0,90.0,300.0,0,140,0.0
frequency,Frequency MLP,2,35,30.0,60.0,90.0,330.0,0,140,0.0
frequency,Frequency MLP,2,36,30.0,60.0,120.0,0.0,0,140,0.0
frequency,Frequency MLP,2,37,30.0,60.0,120.0,30.0,0,140,0.0
frequency,Frequency MLP,2,38,30.0,60.0,120.0,60.0,0,140,0.0
frequency,Frequency MLP,2,39,30.0,60.0,120.0,90.0,0,140,0.0
frequency,Frequency MLP,2,40,30.0,60.0,120.0,120.0,0,140,0.0
frequency,Frequency MLP,2,41,30.0,60.0,120.0,150.0,0,140,0.0
frequency,Frequency MLP,2,42,30.0,60.0,120.0,180.0,0,140,0.0
frequency,Frequency MLP,2,43,30.0,60.0,120.0,210.0,0,140,0.0
frequency,Frequency MLP,2,44,30.0,60.0,120.0,240.0,0,140,0.0
frequency,Frequency MLP,2,45,30.0,60.0,120.0,270.0,0,140,0.0
frequency,Frequency MLP,2,46,30.0,60.0,120.0,300.0,0,140,0.0
frequency,Frequency MLP,2,47,30.0,60.0,120.0,330.0,0,140,0.0
frequency,Frequency MLP,2,48,30.0,60.0,150.0,0.0,0,140,0.0
frequency,Frequency MLP,2,49,30.0,60.0,150.0,30.0,0,140,0.0
frequency,Frequency MLP,2,50,30.0,60.0,150.0,60.0,0,140,0.0
frequency,Frequency MLP,2,51,30.0,60.0,150.0,90.0,8,140,0.05714285714285714
frequency,Frequency MLP,2,52,30.0,60.0,150.0,120.0,9,140,0.06428571428571428
frequency,Frequency MLP,2,53,30.0,60.0,150.0,150.0,0,140,0.0
frequency,Frequency MLP,2,54,30.0,60.0,150.0,180.0,0,140,0.0
frequency,Frequency MLP,2,55,30.0,60.0,150.0,210.0,0,140,0.0
frequency,Frequency MLP,2,56,30.0,60.0,150.0,240.0,0,140,0.0
frequency,Frequency MLP,2,57,30.0,60.0,150.0,270.0,2,140,0.014285714285714285
frequency,Frequency MLP,2,58,30.0,60.0,150.0,300.0,11,140,0.07857142857142857
frequency,Frequency MLP,2,59,30.0,60.0,150.0,330.0,0,140,0.0
frequency,Frequency MLP,3,0,30.0,90.0,30.0,0.0,0,140,0.0
frequency,Frequency MLP,3,1,30.0,90.0,30.0,30.0,0,140,0.0
frequency,Frequency MLP,3,2,30.0,90.0,30.0,60.0,0,140,0.0
frequency,Frequency MLP,3,3,30.0,90.0,30.0,90.0,91,140,0.65
frequency,Frequency MLP,3,4,30.0,90.0,30.0,120.0,0,140,0.0
frequency,Frequency MLP,3,5,30.0,90.0,30.0,150.0,0,140,0.0
frequency,Frequency MLP,3,6,30.0,90.0,30.0,180.0,0,140,0.0
frequency,Frequency MLP,3,7,30.0,90.0,30.0,210.0,0,140,0.0
frequency,Frequency MLP,3,8,30.0,90.0,30.0,240.0,1,140,0.007142857142857143
frequency,Frequency MLP,3,9,30.0,90.0,30.0,270.0,13,140,0.09285714285714286
frequency,Frequency MLP,3,10,30.0,90.0,30.0,300.0,2,140,0.014285714285714285
frequency,Frequency MLP,3,11,30.0,90.0,30.0,330.0,0,140,0.0
frequency,Frequency MLP,3,12,30.0,90.0,60.0,0.0,0,140,0.0
frequency,Frequency MLP,3,13,30.0,90.0,60.0,30.0,0,140,0.0
frequency,Frequency MLP,3,14,30.0,90.0,60.0,60.0,0,140,0.0
frequency,Frequency MLP,3,15,30.0,90.0,60.0,90.0,1,140,0.007142857142857143
frequency,Frequency MLP,3,16,30.0,90.0,60.0,120.0,0,140,0.0
frequency,Frequency MLP,3,17,30.0,90.0,60.0,150.0,0,140,0.0
frequency,Frequency MLP,3,18,30.0,90.0,60.0,180.0,0,140,0.0
frequency,Frequency MLP,3,19,30.0,90.0,60.0,210.0,0,140,0.0
frequency,Frequency MLP,3,20,30.0,90.0,60.0,240.0,0,140,0.0
frequency,Frequency MLP,3,21,30.0,90.0,60.0,270.0,4,140,0.02857142857142857
frequency,Frequency MLP,3,22,30.0,90.0,60.0,300.0,0,140,0.0
frequency,Frequency MLP,3,23,30.0,90.0,60.0,330.0,0,140,0.0
frequency,Frequency MLP,3,24,30.0,90.0,90.0,0.0,0,140,0.0
frequency,Frequency MLP,3,25,30.0,90.0,90.0,30.0,0,140,0.0
frequency,Frequency MLP,3,26,30.0,90.0,90.0,60.0,0,140,0.0
frequency,Frequency MLP,3,27,30.0,90.0,90.0,90.0,0,140,0.0
frequency,Frequency MLP,3,28,30.0,90.0,90.0,120.0,0,140,0.0
frequency,Frequency MLP,3,29,30.0,90.0,90.0,150.0,0,140,0.0
frequency,Frequency MLP,3,30,30.0,90.0,90.0,180.0,0,140,0.0
frequency,Frequency MLP,3,31,30.0,90.0,90.0,210.0,0,140,0.0
frequency,Frequency MLP,3,32,30.0,90.0,90.0,240.0,0,140,0.0
frequency,Frequency MLP,3,33,30.0,90.0,90.0,270.0,0,140,0.0
frequency,Frequency MLP,3,34,30.0,90.0,90.0,300.0,0,140,0.0
frequency,Frequency MLP,3,35,30.0,90.0,90.0,330.0,0,140,0.0
frequency,Frequency MLP,3,36,30.0,90.0,120.0,0.0,0,140,0.0
frequency,Frequency MLP,3,37,30.0,90.0,120.0,30.0,0,140,0.0
frequency,Frequency MLP,3,38,30.0,90.0,120.0,60.0,0,140,0.0
frequency,Frequency MLP,3,39,30.0,90.0,120.0,90.0,0,140,0.0
frequency,Frequency MLP,3,40,30.0,90.0,120.0,120.0,0,140,0.0
frequency,Frequency MLP,3,41,30.0,90.0,120.0,150.0,0,140,0.0
frequency,Frequency MLP,3,42,30.0,90.0,120.0,180.0,0,140,0.0
frequency,Frequency MLP,3,43,30.0,90.0,120.0,210.0,0,140,0.0
frequency,Frequency MLP,3,44,30.0,90.0,120.0,240.0,0,140,0.0
frequency,Frequency MLP,3,45,30.0,90.0,120.0,270.0,0,140,0.0
frequency,Frequency MLP,3,46,30.0,90.0,120.0,300.0,0,140,0.0
frequency,Frequency MLP,3,47,30.0,90.0,120.0,330.0,0,140,0.0
frequency,Frequency MLP,3,48,30.0,90.0,150.0,0.0,0,140,0.0
frequency,Frequency MLP,3,49,30.0,90.0,150.0,30.0,0,140,0.0
frequency,Frequency MLP,3,50,30.0,90.0,150.0,60.0,0,140,0.0
frequency,Frequency MLP,3,51,30.0,90.0,150.0,90.0,10,140,0.07142857142857142
frequency,Frequency MLP,3,52,30.0,90.0,150.0,120.0,0,140,0.0
frequency,Frequency MLP,3,53,30.0,90.0,150.0,150.0,0,140,0.0
frequency,Frequency MLP,3,54,30.0,90.0,150.0,180.0,0,140,0.0
frequency,Frequency MLP,3,55,30.0,90.0,150.0,210.0,0,140,0.0
frequency,Frequency MLP,3,56,30.0,90.0,150.0,240.0,0,140,0.0
frequency,Frequency MLP,3,57,30.0,90.0,150.0,270.0,18,140,0.12857142857142856
frequency,Frequency MLP,3,58,30.0,90.0,150.0,300.0,0,140,0.0
frequency,Frequency MLP,3,59,30.0,90.0,150.0,330.0,0,140,0.0
frequency,Frequency MLP,4,0,30.0,120.0,30.0,0.0,0,140,0.0
frequency,Frequency MLP,4,1,30.0,120.0,30.0,30.0,0,140,0.0
frequency,Frequency MLP,4,2,30.0,120.0,30.0,60.0,5,140,0.03571428571428571
frequency,Frequency MLP,4,3,30.0,120.0,30.0,90.0,6,140,0.04285714285714286
frequency,Frequency MLP,4,4,30.0,120.0,30.0,120.0,92,140,0.6571428571428571
frequency,Frequency MLP,4,5,30.0,120.0,30.0,150.0,0,140,0.0
frequency,Frequency MLP,4,6,30.0,120.0,30.0,180.0,0,140,0.0
frequency,Frequency MLP,4,7,30.0,120.0,30.0,210.0,0,140,0.0
frequency,Frequency MLP,4,8,30.0,120.0,30.0,240.0,1,140,0.007142857142857143
frequency,Frequency MLP,4,9,30.0,120.0,30.0,270.0,0,140,0.0
frequency,Frequency MLP,4,10,30.0,120.0,30.0,300.0,0,140,0.0
frequency,Frequency MLP,4,11,30.0,120.0,30.0,330.0,0,140,0.0
frequency,Frequency MLP,4,12,30.0,120.0,60.0,0.0,1,140,0.007142857142857143
frequency,Frequency MLP,4,13,30.0,120.0,60.0,30.0,0,140,0.0
frequency,Frequency MLP,4,14,30.0,120.0,60.0,60.0,0,140,0.0
frequency,Frequency MLP,4,15,30.0,120.0,60.0,90.0,2,140,0.014285714285714285
frequency,Frequency MLP,4,16,30.0,120.0,60.0,120.0,0,140,0.0
frequency,Frequency MLP,4,17,30.0,120.0,60.0,150.0,0,140,0.0
frequency,Frequency MLP,4,18,30.0,120.0,60.0,180.0,0,140,0.0
frequency,Frequency MLP,4,19,30.0,120.0,60.0,210.0,0,140,0.0
frequency,Frequency MLP,4,20,30.0,120.0,60.0,240.0,0,140,0.0
frequency,Frequency MLP,4,21,30.0,120.0,60.0,270.0,0,140,0.0
frequency,Frequency MLP,4,22,30.0,120.0,60.0,300.0,0,140,0.0
frequency,Frequency MLP,4,23,30.0,120.0,60.0,330.0,5,140,0.03571428571428571
frequency,Frequency MLP,4,24,30.0,120.0,90.0,0.0,0,140,0.0
frequency,Frequency MLP,4,25,30.0,120.0,90.0,30.0,0,140,0.0
frequency,Frequency MLP,4,26,30.0,120.0,90.0,60.0,0,140,0.0
frequency,Frequency MLP,4,27,30.0,120.0,90.0,90.0,0,140,0.0
frequency,Frequency MLP,4,28,30.0,120.0,90.0,120.0,0,140,0.0
frequency,Frequency MLP,4,29,30.0,120.0,90.0,150.0,0,140,0.0
frequency,Frequency MLP,4,30,30.0,120.0,90.0,180.0,0,140,0.0
frequency,Frequency MLP,4,31,30.0,120.0,90.0,210.0,0,140,0.0
frequency,Frequency MLP,4,32,30.0,120.0,90.0,240.0,0,140,0.0
frequency,Frequency MLP,4,33,30.0,120.0,90.0,270.0,0,140,0.0
frequency,Frequency MLP,4,34,30.0,120.0,90.0,300.0,0,140,0.0
frequency,Frequency MLP,4,35,30.0,120.0,90.0,330.0,1,140,0.007142857142857143
frequency,Frequency MLP,4,36,30.0,120.0,120.0,0.0,0,140,0.0
frequency,Frequency MLP,4,37,30.0,120.0,120.0,30.0,0,140,0.0
frequency,Frequency MLP,4,38,30.0,120.0,120.0,60.0,0,140,0.0
frequency,Frequency MLP,4,39,30.0,120.0,120.0,90.0,0,140,0.0
frequency,Frequency MLP,4,40,30.0,120.0,120.0,120.0,0,140,0.0
frequency,Frequency MLP,4,41,30.0,120.0,120.0,150.0,0,140,0.0
frequency,Frequency MLP,4,42,30.0,120.0,120.0,180.0,0,140,0.0
frequency,Frequency MLP,4,43,30.0,120.0,120.0,210.0,0,140,0.0
frequency,Frequency MLP,4,44,30.0,120.0,120.0,240.0,0,140,0.0
frequency,Frequency MLP,4,45,30.0,120.0,120.0,270.0,0,140,0.0
frequency,Frequency MLP,4,46,30.0,120.0,120.0,300.0,0,140,0.0
frequency,Frequency MLP,4,47,30.0,120.0,120.0,330.0,0,140,0.0
frequency,Frequency MLP,4,48,30.0,120.0,150.0,0.0,0,140,0.0
frequency,Frequency MLP,4,49,30.0,120.0,150.0,30.0,0,140,0.0
frequency,Frequency MLP,4,50,30.0,120.0,150.0,60.0,16,140,0.11428571428571428
frequency,Frequency MLP,4,51,30.0,120.0,150.0,90.0,0,140,0.0
frequency,Frequency MLP,4,52,30.0,120.0,150.0,120.0,3,140,0.02142857142857143
frequency,Frequency MLP,4,53,30.0,120.0,150.0,150.0,0,140,0.0
frequency,Frequency MLP,4,54,30.0,120.0,150.0,180.0,0,140,0.0
frequency,Frequency MLP,4,55,30.0,120.0,150.0,210.0,0,140,0.0
