arm,arm_display,entity_type,entity,object_code,theta_true_deg,phi_true_deg,prediction_rows,tail_gt90_count,tail_gt90_rate,tail_ge150_rate,exact_antipodal_rate,tail_rank,share_of_arm_tail
rect_ifft,Rect-IFFT MLP,direction,t120_p000,,120.0,0.0,140,18,0.12857142857142856,0.007142857142857143,0.007142857142857143,44,0.010830324909747292
rect_ifft,Rect-IFFT MLP,direction,t120_p060,,120.0,60.0,140,16,0.11428571428571428,0.014285714285714285,0.0,45,0.009626955475330927
rect_ifft,Rect-IFFT MLP,direction,t150_p030,,150.0,30.0,140,16,0.11428571428571428,0.02857142857142857,0.0,46,0.009626955475330927
rect_ifft,Rect-IFFT MLP,direction,t120_p330,,120.0,330.0,140,15,0.10714285714285714,0.02857142857142857,0.02142857142857143,47,0.009025270758122744
rect_ifft,Rect-IFFT MLP,direction,t030_p030,,30.0,30.0,140,14,0.1,0.06428571428571428,0.007142857142857143,48,0.00842358604091456
rect_ifft,Rect-IFFT MLP,direction,t030_p210,,30.0,210.0,140,13,0.09285714285714286,0.04285714285714286,0.0,49,0.007821901323706379
rect_ifft,Rect-IFFT MLP,direction,t120_p030,,120.0,30.0,140,13,0.09285714285714286,0.007142857142857143,0.0,50,0.007821901323706379
rect_ifft,Rect-IFFT MLP,direction,t030_p000,,30.0,0.0,140,11,0.07857142857142857,0.07142857142857142,0.02142857142857143,51,0.006618531889290012
rect_ifft,Rect-IFFT MLP,direction,t030_p150,,30.0,150.0,140,11,0.07857142857142857,0.02142857142857143,0.0,52,0.006618531889290012
rect_ifft,Rect-IFFT MLP,direction,t030_p300,,30.0,300.0,140,11,0.07857142857142857,0.06428571428571428,0.0,53,0.006618531889290012
rect_ifft,Rect-IFFT MLP,direction,t150_p270,,150.0,270.0,140,9,0.06428571428571428,0.05714285714285714,0.02857142857142857,54,0.005415162454873646
rect_ifft,Rect-IFFT MLP,direction,t030_p180,,30.0,180.0,140,8,0.05714285714285714,0.02142857142857143,0.02142857142857143,55,0.0048134777376654635
rect_ifft,Rect-IFFT MLP,direction,t150_p180,,150.0,180.0,140,7,0.05,0.007142857142857143,0.0,56,0.00421179302045728
rect_ifft,Rect-IFFT MLP,direction,t120_p180,,120.0,180.0,140,6,0.04285714285714286,0.0,0.0,57,0.0036101083032490976
rect_ifft,Rect-IFFT MLP,direction,t060_p030,,60.0,30.0,140,5,0.03571428571428571,0.0,0.0,58,0.0030084235860409147
rect_ifft,Rect-IFFT MLP,direction,t150_p000,,150.0,0.0,140,5,0.03571428571428571,0.02857142857142857,0.014285714285714285,59,0.0030084235860409147
rect_ifft,Rect-IFFT MLP,direction,t060_p180,,60.0,180.0,140,3,0.02142857142857143,0.0,0.0,60,0.0018050541516245488
hann_ifft,Hann-IFFT MLP,direction,t090_p000,,90.0,0.0,140,84,0.6,0.5642857142857143,0.45714285714285713,1,0.04518558364712211
hann_ifft,Hann-IFFT MLP,direction,t090_p330,,90.0,330.0,140,77,0.55,0.30714285714285716,0.2785714285714286,2,0.04142011834319527
hann_ifft,Hann-IFFT MLP,direction,t090_p030,,90.0,30.0,140,68,0.4857142857142857,0.3357142857142857,0.2785714285714286,3,0.03657880580957504
hann_ifft,Hann-IFFT MLP,direction,t090_p150,,90.0,150.0,140,68,0.4857142857142857,0.32857142857142857,0.29285714285714287,4,0.03657880580957504
hann_ifft,Hann-IFFT MLP,direction,t090_p120,,90.0,120.0,140,64,0.45714285714285713,0.2642857142857143,0.2357142857142857,5,0.03442711135018827
hann_ifft,Hann-IFFT MLP,direction,t090_p090,,90.0,90.0,140,63,0.45,0.45,0.39285714285714285,6,0.03388918773534158
hann_ifft,Hann-IFFT MLP,direction,t090_p060,,90.0,60.0,140,59,0.42142857142857143,0.2357142857142857,0.21428571428571427,7,0.03173749327595481
hann_ifft,Hann-IFFT MLP,direction,t090_p180,,90.0,180.0,140,55,0.39285714285714285,0.37857142857142856,0.29285714285714287,8,0.029585798816568046
hann_ifft,Hann-IFFT MLP,direction,t090_p270,,90.0,270.0,140,55,0.39285714285714285,0.39285714285714285,0.34285714285714286,9,0.029585798816568046
hann_ifft,Hann-IFFT MLP,direction,t090_p210,,90.0,210.0,140,51,0.36428571428571427,0.2785714285714286,0.2357142857142857,10,0.027434104357181282
hann_ifft,Hann-IFFT MLP,direction,t090_p240,,90.0,240.0,140,47,0.3357142857142857,0.16428571428571428,0.1357142857142857,11,0.025282409897794515
hann_ifft,Hann-IFFT MLP,direction,t030_p150,,30.0,150.0,140,43,0.30714285714285716,0.06428571428571428,0.007142857142857143,12,0.023130715438407747
hann_ifft,Hann-IFFT MLP,direction,t120_p120,,120.0,120.0,140,41,0.29285714285714287,0.0,0.0,13,0.022054868208714364
hann_ifft,Hann-IFFT MLP,direction,t060_p270,,60.0,270.0,140,40,0.2857142857142857,0.1,0.07857142857142857,14,0.02151694459386767
hann_ifft,Hann-IFFT MLP,direction,t090_p300,,90.0,300.0,140,40,0.2857142857142857,0.2571428571428571,0.2571428571428571,15,0.02151694459386767
