pair,method_a,method_b,metric,object_code,direction_count,delta_b_minus_a
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,b979,60,-0.014285714285714287
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,b97b,60,0.0
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,b9e6,60,-0.016666666666666666
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,ba0f,60,0.011904761904761902
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,baa9,60,-0.009523809523809523
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,bb26,60,-0.0023809523809523816
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,bb7c,60,0.00238095238095238
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,bb7d,60,0.007142857142857142
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,bbc6,60,0.009523809523809523
rect_ifft_minus_frequency,frequency,rect_ifft,exact_antipodal_180,bc2c,60,-0.04285714285714285
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,b7c1,60,6.749393912724086
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,b7fd,60,3.630282940183368
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,b80b,60,5.727273559570312
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,b812,60,5.823052151997883
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,b827,60,10.995941611698695
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,b871,60,1.3110088030497238
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,b8ed,60,10.031553468250094
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,b905,60,4.06346441450573
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,b943,60,0.3251497677394321
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,b974,60,0.3633925392514178
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,b979,60,9.57917670976548
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,b97b,60,12.595811587288265
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,b9e6,60,8.418258412679036
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,ba0f,60,16.796890905925203
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,baa9,60,1.0268468856811521
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,bb26,60,1.4074581691196981
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,bb7c,60,7.30402082942781
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,bb7d,60,0.9054479621705543
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,bbc6,60,1.551443440573554
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,gce_deg,bc2c,60,-6.054867792129517
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,b7c1,60,-0.06904761904761904
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,b7fd,60,-0.02380952380952382
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,b80b,60,-0.03809523809523809
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,b812,60,-0.04523809523809524
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,b827,60,-0.14523809523809522
hann_ifft_minus_rect_ifft,rect_ifft,hann_ifft,top1,b871,60,-0.03809523809523809
