arm,arm_display,theta_true_deg,phi_true_deg,prediction_rows,object_count,seed_count,great_circle_mean_deg,great_circle_median_deg,great_circle_p90_deg,great_circle_p95_deg,top1_acc,tail_rate_gt90_deg,tail_rate_ge150_deg,near_antipodal_rate_ge165_lt180,exact_antipodal_rate_180,direction_index
rect_ifft,Rect-IFFT MLP,120.0,90.0,140,20,7,33.61282296861921,0.0,150.0,180.0,0.65,0.15,0.12142857142857143,0.0,0.08571428571428572,39
rect_ifft,Rect-IFFT MLP,120.0,120.0,140,20,7,39.4761780330113,0.0,128.6822052001953,128.6822052001953,0.6071428571428571,0.29285714285714287,0.0,0.0,0.0,40
rect_ifft,Rect-IFFT MLP,120.0,150.0,140,20,7,36.04552664075579,0.0,120.00000762939453,128.6822052001953,0.65,0.21428571428571427,0.04285714285714286,0.0,0.03571428571428571,41
rect_ifft,Rect-IFFT MLP,120.0,180.0,140,20,7,15.344951316288538,0.0,60.000003814697266,90.0,0.7428571428571429,0.04285714285714286,0.0,0.0,0.0,42
rect_ifft,Rect-IFFT MLP,120.0,210.0,140,20,7,50.68503131866455,25.905075073242188,120.00000762939453,150.0,0.4857142857142857,0.29285714285714287,0.05,0.0,0.03571428571428571,43
rect_ifft,Rect-IFFT MLP,120.0,240.0,140,20,7,38.112784358433316,0.0,128.6822052001953,150.0,0.55,0.2,0.05,0.0,0.014285714285714285,44
rect_ifft,Rect-IFFT MLP,120.0,270.0,140,20,7,35.664296231951035,0.0,138.59039306640625,180.0,0.6785714285714286,0.2357142857142857,0.07857142857142857,0.0,0.05714285714285714,45
rect_ifft,Rect-IFFT MLP,120.0,300.0,140,20,7,36.12010326385498,0.0,128.68218994140625,143.9022216796875,0.6357142857142857,0.24285714285714285,0.02142857142857143,0.0,0.0,46
rect_ifft,Rect-IFFT MLP,120.0,330.0,140,20,7,26.342240946633474,0.0,97.18075561523438,120.00000762939453,0.7071428571428572,0.10714285714285714,0.02857142857142857,0.0,0.02142857142857143,47
rect_ifft,Rect-IFFT MLP,150.0,0.0,140,20,7,20.46520588738578,0.0,60.000003814697266,90.0,0.6714285714285714,0.03571428571428571,0.02857142857142857,0.007142857142857143,0.014285714285714285,48
rect_ifft,Rect-IFFT MLP,150.0,30.0,140,20,7,20.570151792253768,0.0,122.24180603027344,128.68218994140625,0.75,0.11428571428571428,0.02857142857142857,0.0,0.0,49
rect_ifft,Rect-IFFT MLP,150.0,60.0,140,20,7,30.69422481400626,0.0,128.68218994140625,151.04498291015625,0.7357142857142858,0.2,0.08571428571428572,0.02142857142857143,0.0,50
rect_ifft,Rect-IFFT MLP,150.0,90.0,140,20,7,34.495974384035385,0.0,180.0,180.0,0.6928571428571428,0.14285714285714285,0.12857142857142856,0.014285714285714285,0.11428571428571428,51
rect_ifft,Rect-IFFT MLP,150.0,120.0,140,20,7,27.033880642482213,0.0,128.68218994140625,151.04498291015625,0.7142857142857143,0.15714285714285714,0.05,0.0,0.0,52
rect_ifft,Rect-IFFT MLP,150.0,150.0,140,20,7,22.606490073885237,0.0,122.24180603027344,151.04498291015625,0.7714285714285715,0.1357142857142857,0.05714285714285714,0.007142857142857143,0.0,53
rect_ifft,Rect-IFFT MLP,150.0,180.0,140,20,7,17.539928722381593,0.0,86.67424774169922,120.00000762939453,0.7071428571428572,0.05,0.007142857142857143,0.0,0.0,54
rect_ifft,Rect-IFFT MLP,150.0,210.0,140,20,7,26.198456232888358,0.0,128.68218994140625,151.04498291015625,0.7357142857142858,0.1357142857142857,0.07142857142857142,0.0,0.0,55
rect_ifft,Rect-IFFT MLP,150.0,240.0,140,20,7,26.485378558295114,0.0,122.24180603027344,165.12905883789062,0.7571428571428571,0.15,0.08571428571428572,0.04285714285714286,0.014285714285714285,56
rect_ifft,Rect-IFFT MLP,150.0,270.0,140,20,7,15.122234187807356,0.0,60.000003814697266,165.12905883789062,0.8357142857142857,0.06428571428571428,0.05714285714285714,0.02857142857142857,0.02857142857142857,57
rect_ifft,Rect-IFFT MLP,150.0,300.0,140,20,7,27.599751165934972,0.0,122.24180603027344,151.04498291015625,0.6928571428571428,0.1357142857142857,0.06428571428571428,0.0,0.0,58
rect_ifft,Rect-IFFT MLP,150.0,330.0,140,20,7,26.84481120790754,0.0,128.68218994140625,150.0,0.7214285714285714,0.16428571428571428,0.05,0.02857142857142857,0.0,59
hann_ifft,Hann-IFFT MLP,30.0,0.0,140,20,7,26.547674124581473,0.0,90.0,90.0,0.5642857142857143,0.04285714285714286,0.04285714285714286,0.0,0.0,0
hann_ifft,Hann-IFFT MLP,30.0,30.0,140,20,7,20.48299023083278,0.0,120.00000762939453,128.68218994140625,0.7142857142857143,0.10714285714285714,0.02142857142857143,0.014285714285714285,0.0,1
hann_ifft,Hann-IFFT MLP,30.0,60.0,140,20,7,40.58305391584124,0.0,151.04498291015625,151.04498291015625,0.6714285714285714,0.2714285714285714,0.11428571428571428,0.04285714285714286,0.0,2
hann_ifft,Hann-IFFT MLP,30.0,90.0,140,20,7,34.34242244447981,0.0,122.24180603027344,165.12905883789062,0.6428571428571429,0.15714285714285714,0.07857142857142857,0.05,0.007142857142857143,3
hann_ifft,Hann-IFFT MLP,30.0,120.0,140,20,7,29.04997820172991,0.0,115.6589126586914,138.59039306640625,0.6571428571428571,0.1,0.04285714285714286,0.0,0.02857142857142857,4
hann_ifft,Hann-IFFT MLP,30.0,150.0,140,20,7,45.553524473735266,0.0,143.9022216796875,151.04498291015625,0.6,0.30714285714285716,0.06428571428571428,0.02857142857142857,0.007142857142857143,5
hann_ifft,Hann-IFFT MLP,30.0,180.0,140,20,7,24.88089862551008,0.0,90.0,120.00000762939453,0.6642857142857143,0.05714285714285714,0.04285714285714286,0.0,0.0,6
hann_ifft,Hann-IFFT MLP,30.0,210.0,140,20,7,32.6698773247855,0.0,128.68218994140625,151.04498291015625,0.6357142857142857,0.15714285714285714,0.08571428571428572,0.014285714285714285,0.0,7
hann_ifft,Hann-IFFT MLP,30.0,240.0,140,20,7,41.35970619065421,0.0,151.04498291015625,151.04498291015625,0.6357142857142857,0.2571428571428571,0.11428571428571428,0.04285714285714286,0.0,8
hann_ifft,Hann-IFFT MLP,30.0,270.0,140,20,7,30.10960818018232,0.0,120.00000762939453,150.0,0.6928571428571428,0.14285714285714285,0.05,0.014285714285714285,0.02857142857142857,9
hann_ifft,Hann-IFFT MLP,30.0,300.0,140,20,7,19.342033542905536,0.0,77.49608612060547,151.04498291015625,0.7785714285714286,0.08571428571428572,0.05714285714285714,0.007142857142857143,0.0,10
