object_code,sample_id,theta_deg,phi_deg,frequency_ghz,etheta_real,etheta_imag,ephi_real,ephi_imag
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.50999999,-0.345615268,0.301816821,-0.0141031872,-0.00276077469
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.51999998,-0.200987786,0.37705642,-0.0113823954,0.00506717712
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.52999997,-0.0507210791,0.396062821,-0.00546931755,0.00876879413
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.54000002,0.0874420777,0.363853186,3.43774809e-05,0.00817870349
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.55000001,0.198415458,0.289745778,0.00301692938,0.00539965695
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.56,0.302855015,0.210564539,0.00405830937,0.00309897028
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.56999999,0.375393689,0.0959907919,0.00410948461,0.0015926084
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.57999998,0.405449092,-0.0406797715,0.00433058757,0.000663135725
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.58999997,0.388224512,-0.184179336,0.00488804514,-0.000648180256
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.60000002,0.323769003,-0.319607735,0.00493088877,-0.00280086091
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.61000001,0.215703979,-0.432998478,0.00358298747,-0.00516164349
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.62,0.071233362,-0.511157572,0.000899669947,-0.00653707283
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.63,-0.0978493989,-0.542629361,-0.00210057618,-0.0062161875
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.63999999,-0.275015563,-0.520340323,-0.00425820518,-0.00451606279
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.64999998,-0.441158056,-0.444413632,-0.00510963146,-0.00241114781
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.66000003,-0.578436017,-0.322999597,-0.0050138128,-0.000715658942
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.67000002,-0.673623502,-0.170389354,-0.00460508233,0.000392254442
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.68000001,-0.719236553,-0.00368955825,-0.00420710025,0.00118161214
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.69,-0.712742269,0.160038859,-0.00373783847,0.0018692998
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.69999999,-0.655721366,0.30539614,-0.00305201951,0.00237633265
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.70999998,-0.554334462,0.419567525,-0.0022487035,0.00252129952
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.72000003,-0.420264155,0.493377388,-0.00160636799,0.00233892351
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.73000002,-0.269949764,0.522617877,-0.0012644052,0.00212439965
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.74000001,-0.121271491,0.508973122,-0.0010417921,0.00215169881
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.75,0.0106634349,0.459477216,-0.000607086637,0.00238145539
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.75999999,0.116171576,0.38425076,0.000174517947,0.00247624726
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.76999998,0.190998822,0.293762028,0.00107449666,0.002114109
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.77999997,0.256514043,0.202948123,0.00183152803,0.00132670882
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.79000002,0.310998112,0.0998947173,0.00213038758,0.000250044686
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.80000001,0.326128572,-0.0160197541,0.00176420307,-0.000679840683
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.81,0.299246281,-0.129904911,0.00110039045,-0.00109790114
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.81999999,0.233988926,-0.226372942,0.000600354804,-0.00108827802
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.82999998,0.140071318,-0.293045193,0.000409268978,-0.00103587389
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.83999997,0.0306369178,-0.323118627,0.000274248538,-0.00120845123
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.85000002,-0.0811615065,-0.31543681,-0.000143122423,-0.00147959287
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.86000001,-0.184175789,-0.27258715,-0.000872638891,-0.00145818829
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.87,-0.269190818,-0.199040666,-0.00154601573,-0.000897802238
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.88,-0.328058243,-0.100834332,-0.00170815247,7.23308904e-06
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.88999999,-0.353850871,0.0136022428,-0.00124824245,0.000731089152
b7fd,b7fd_pec_ti090_pi000,90.0,0.0,0.89999998,-0.342511863,0.133196518,-0.000550261524,0.00085334474
